2025-11-18 13:41:06,724 - ERROR - Error processing response_20240818_215146_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,726 - ERROR - Error processing response_20240818_215228_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,728 - ERROR - Error processing response_20240818_215325_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,731 - ERROR - Error processing response_20240818_215422_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,733 - ERROR - Error processing response_20240818_215519_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,736 - ERROR - Error processing response_20240818_215616_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,738 - ERROR - Error processing response_20240818_215810_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,741 - ERROR - Error processing response_20240818_215907_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,742 - ERROR - Error processing response_20240818_220004_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,745 - ERROR - Error processing response_20240818_220102_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,747 - ERROR - Error processing response_20240818_220159_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,749 - ERROR - Error processing response_20240818_220256_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,751 - ERROR - Error processing response_20240818_220353_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,754 - ERROR - Error processing response_20240818_220449_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,756 - ERROR - Error processing response_20240818_220546_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,760 - ERROR - Error processing response_20240818_220643_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,761 - ERROR - Error processing response_20240818_220740_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,763 - ERROR - Error processing response_20240818_220837_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,764 - ERROR - Error processing response_20240818_220934_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,766 - ERROR - Error processing response_20240818_221032_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
2025-11-18 13:41:06,768 - ERROR - Error processing response_20240818_221128_CEST.json: expected str, bytes or os.PathLike object, not TextIOWrapper
